GDP per capita;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Slovenia;4628;4589;4551;4512;4474;4436;4398;4361;5135;5568;5147;5282;4809;5456;5687;5973;5790;6698;6918;7697;8110;8393;8469;9262;10057;10231;10681;10773;10911;12039;12524;13849;14200;14555;16290;16150;16496;17536;18347;19444;20265;20506;20527;20591;21000;21062;21819;21476;21084;20729;19147;17370;16351;16748;17576;18240;18894;19887;20585;21655;22488;23115;23972;24639;25694;26677;28096;29878;30816;28157;28377;28492;27682;27368;28059;28550
Solomon Islands;796;809;823;837;851;865;880;895;910;926;941;957;973;990;1006;1023;1041;1058;1076;1094;1113;1132;1151;1170;1190;1210;1230;1251;1270;1195;1215;1200;829;892;1086;923;1014;1122;1181;1424;1293;1416;1407;1547;1514;1479;1718;1710;1723;1812;1793;1847;2024;2045;2171;2284;2257;2163;2142;2074;1731;1550;1468;1523;1557;1602;1672;1753;1835;1709;1787;1975;2024;2041;2030;2047
Somalia;930;937;943;950;956;963;969;976;983;990;997;1036;1050;1070;1111;1126;1145;1166;1175;1219;1210;1243;1272;1294;1131;1034;1155;1196;1190;1019;1083;1097;1256;1092;1065;1148;1027;1046;995;869;837;866;888;794;832;919;897;979;962;950;930;921;813;817;644;637;648;613;607;605;603;603;607;611;614;616;615;615;615;615;614;614;616;619;621;624
Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Africa;6733;6837;6839;6787;6817;6789;6821;6690;6994;6880;7217;7316;7335;7435;7623;7752;7928;7978;7897;8001;8080;8175;8365;8701;9004;9255;9371;9720;9849;10156;10394;10654;10615;10813;11164;11120;11138;10874;10952;11132;11577;11845;11459;10927;11151;10699;10474;10459;10666;10670;10364;10049;9631;9546;9643;9730;9925;9952;9770;9766;9927;9988;10213;10382;10715;11133;11597;12052;12263;11903;12087;12291;12375;12454;12446;12509
South Ossetia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;3643;3570;3756;3881;4047;3760;3914;3963;3957;3916;3993;4369;4701;4660;4987;5158;5546;5692;5904;5735;5792;6498;7206;7896;8611;9106;9700;10252;10767;11650;12233;12834;13790;14908;15885;16296;16818;17305;17707;17825;18119;18116;18358;18754;18970;19300;19881;20953;22036;23141;24126;24684;24831;24498;25015;25645;26270;27167;28238;29353;30647;31488;31866;32293;32745;33396;34206;34845;34676;33142;32994;32674;31971;31681;32270;32979
Sri Lanka;1824;1854;1913;1851;1658;1596;1498;1525;1642;1693;1764;1815;1838;1814;1807;1859;1821;1797;1799;1773;1785;1769;1782;1771;1809;1820;1755;1870;1961;1993;2044;1988;1994;2039;2074;2091;2118;2220;2318;2424;2514;2630;2718;2820;2924;3008;3115;3101;3138;3178;3340;3442;3561;3759;3915;4075;4184;4396;4550;4677;4946;4949;5111;5344;5559;5843;6223;6586;6907;7080;7572;8112;8856;9426;10043;10624
Sudan;1448;1480;1512;1546;1579;1614;1650;1686;1723;1760;1799;1838;1881;1920;1963;2007;2164;2081;2112;2303;2287;2230;2325;2202;2126;2220;2140;2022;2093;2167;2022;2106;2006;1785;1910;2091;2403;2687;2559;2213;2159;2137;2332;2233;2050;1850;1869;1871;1858;1961;1753;1830;1892;1918;1879;1934;1992;2142;2175;2183;2258;2338;2419;2533;2557;2672;2858;3097;3246;3259;3282;3524;3856;3903;3940;3975
Suriname;4711;4788;4866;4945;5025;5107;5190;5274;5359;5446;5534;5664;5797;5933;6071;6214;6359;6508;6660;6816;6975;7138;7305;7476;7650;7829;8012;8199;8390;8586;8786;9315;9776;10239;10609;9648;10622;11830;12569;11872;10836;11515;10888;10291;9935;11162;10842;9949;10724;11131;10625;10759;10588;9690;9873;9848;9839;10263;10283;10054;9908;10214;10502;10979;11836;12225;12553;13059;13470;13747;14325;14942;15254;15556;16649;17125
Svalbard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Swaziland;1174;1193;1212;1232;1251;1271;1292;1312;1333;1355;1376;1424;1437;1460;1508;1522;1544;1566;1573;1625;1804;1986;2348;2424;2713;3059;3112;3324;3092;3142;3971;3934;4302;4417;4786;4827;4851;4859;4842;4766;4723;4894;5031;4890;4821;4945;4943;5171;4823;4924;4844;4793;4835;4887;4909;5043;5125;5167;5189;5243;5257;5263;5320;5410;5533;5618;5733;5847;5887;5860;5862;5846;5910;5998;6058;6095
Sweden;8517;8278;8340;8598;8840;9088;9985;10787;10925;11278;11977;11890;12133;12221;12896;13177;13642;13956;14031;14598;15097;15998;16607;17228;18434;19142;19222;19709;20401;21168;22054;22277;22308;23232;25048;25353;25378;24567;24784;25827;26010;25869;26431;26808;27890;28202;29138;29889;30596;31161;30901;30340;29813;29028;30000;31044;31465;32360;33709;35208;36816;37292;37941;38702;40216;41184;42873;44005;43421;40820;42898;43709;43263;43448;44029;44892
Switzerland;14639;14403;13896;13618;13778;17496;18416;20323;20420;19569;20209;21545;21379;21800;22745;23981;25197;25738;24798;26014;27258;28621;29137;29877;30886;31531;31983;32566;33324;34719;36582;37621;38478;39412;39874;37301;37189;38201;38264;39109;40692;41080;40226;40229;41269;42462;42899;42914;43895;45400;46600;45599;45080;44615;44823;44738;44809;45734;46942;47486;49083;49479;49177;48837;49882;51069;52786;54483;55020;53179;54183;54551;54573;54983;55776;56118
Syria;1573;1593;1614;1636;1657;1679;1702;1724;1747;1771;1794;1686;2074;2295;2569;2261;2609;2697;2260;2276;2247;2210;2932;2578;2894;2810;2503;2580;2598;3009;2582;2744;3317;2933;3521;4071;4372;4178;4398;4411;4777;5055;4987;4886;4531;4653;4284;4234;4654;3749;3809;3991;4399;4498;4693;4894;5246;5385;5620;5291;5188;5232;5474;5341;5546;5738;5888;6094;6246;6497;6603;6358;6432;5464;5105;4637
Taiwan;2041;1909;1951;1767;1507;823;890;1024;1268;1411;1680;1745;1895;2002;2120;2205;2205;2297;2367;2449;2570;2654;2808;3095;3407;3571;3836;4146;4461;4772;5144;5758;6532;7144;6758;7073;8183;8947;9924;10400;10661;11192;11535;12536;13643;14014;16104;17578;17921;19433;20432;21996;23207;24595;26091;27307;28866;30613;31879;32852;34205;32912;34259;34840;36032;36825;37661;38761;36526;36491;39085;39059;39482;40214;41376;42948
Tajikistan;1894;1855;1817;1780;1743;1708;1673;1855;2092;2281;2466;2431;2540;2601;2677;2850;3063;3065;3232;3134;3363;3490;3522;3387;3769;3930;4070;4200;4398;4413;4703;4776;4750;5095;5053;4883;4928;4864;4809;4617;4461;4344;4294;4274;4172;4059;4075;3981;3924;3855;3635;3302;2300;1891;1465;1266;1040;1045;1086;1111;1186;1285;1398;1522;1645;1719;1800;1898;2001;2029;2110;2212;2320;2432;2533;2582
Tanzania;871;878;885;892;899;906;913;920;927;934;941;1040;1042;985;1044;1048;1038;1041;1027;1054;1072;1035;1102;1143;1176;1189;1307;1326;1360;1349;1391;1412;1465;1470;1464;1503;1571;1574;1579;1559;1534;1479;1461;1419;1418;1379;1389;1420;1442;1454;1471;1453;1413;1384;1362;1369;1392;1405;1421;1454;1488;1538;1607;1673;1756;1848;1880;1980;2030;2076;2143;2243;2288;2382;2472;2571
Thailand;1215;1209;1204;1199;1193;1188;1183;1178;1173;1169;1164;1206;1232;1322;1266;1329;1304;1274;1276;1383;1500;1527;1593;1667;1725;1804;1945;2044;2145;2246;2323;2365;2398;2570;2621;2688;2870;3088;3325;3427;3508;3645;3770;3912;4068;4191;4356;4701;5250;5808;6369;6841;7333;7882;8529;9239;9689;9454;8363;8633;8939;9028;9399;9962;10497;10901;11400;11940;12216;11915;12822;12798;13586;13932;13986;14512
Timor-Leste;679;680;681;682;683;684;684;685;686;687;688;689;690;691;692;693;693;694;695;696;697;698;699;700;701;701;702;703;704;705;706;707;707;708;725;742;759;776;794;813;832;851;871;891;912;933;955;977;999;1022;1046;1121;1195;1273;1365;1477;1644;1741;1738;1132;1322;1507;1363;1283;1244;1301;1206;1323;1486;1652;1777;1940;2040;2093;2173;2086
Togo;1048;1047;1045;1044;1043;1041;1040;1039;1037;1036;1034;1050;1066;1080;1095;1110;1125;1139;1152;1165;1238;1289;1303;1331;1483;1640;1742;1788;1827;1969;1878;1962;1980;1854;1885;1828;1774;1825;1960;2026;1882;1710;1587;1447;1436;1449;1440;1406;1415;1414;1350;1306;1223;1014;1138;1198;1272;1418;1351;1349;1305;1251;1207;1235;1228;1211;1228;1224;1219;1230;1246;1273;1314;1346;1387;1433
Tokelau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tonga;1238;1252;1266;1280;1294;1308;1323;1337;1352;1367;1382;1397;1413;1428;1444;1460;1476;1492;1508;1525;1541;1558;1575;1592;1610;1627;1645;1663;1681;1699;1718;1736;1755;1774;1849;1909;1920;1992;2002;2016;2324;2655;3072;3288;3379;3621;3698;3793;3695;3678;3572;3795;3800;3937;4125;4269;4256;4235;4331;4478;4605;4745;4878;4953;4959;5006;4920;4664;4748;4772;4945;5023;5032;4879;4962;5069
Transnistria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trinidad and Tobago;3857;3951;4047;4145;4246;4349;4455;4563;4674;4787;4903;5209;5283;5313;5271;5825;6843;7246;7621;7820;8531;8714;8929;9229;9362;9699;10002;10152;10669;10988;11495;11558;12081;12187;12729;12847;13904;14568;16047;16549;17624;18248;16989;15457;16175;15331;14682;13902;13310;13206;13464;13735;13426;13158;13562;14046;14561;14928;16064;16739;17721;18383;19773;22519;24175;25439;28790;30008;30875;29383;29321;28743;29086;29469;29820;30113
Tunisia;1567;1585;1602;1619;1636;1653;1670;1688;1705;1722;1739;1732;1916;1959;1974;1845;1945;1848;2064;1950;2157;2312;2226;2516;2575;2683;2690;2615;2831;2876;2990;3246;3746;3639;3841;4011;4215;4255;4434;4618;4837;4980;4863;4999;5048;5205;5002;5214;5109;5196;5502;5604;5920;5991;6031;6055;6393;6649;6879;7201;7464;7699;7752;8094;8468;8707;9109;9585;9938;10187;10411;10235;10609;10768;10825;11126
Turkey;3163;2851;2947;2651;2514;2154;2722;2812;3123;2901;3103;3701;3963;4361;3892;4156;4122;4943;5252;4869;4735;4691;4849;5188;5296;5309;5906;6020;6295;6470;6740;6765;7186;7442;7991;8381;9142;8863;8400;8160;7828;8518;8323;8535;8798;9163;9556;10351;10421;10103;10670;10568;10920;11569;10857;11530;12190;12911;13008;12381;13025;12106;12669;13151;14187;15176;16013;16551;16454;15467;16674;17908;18057;18579;18884;19360
Turkmenistan;3745;3679;3614;3550;3487;3426;3365;3743;4233;4628;5018;4961;5197;5337;5509;5881;6338;6361;6726;6540;7040;7319;7402;7132;7952;8309;8622;8916;9355;9406;10045;10221;10186;10948;10900;10576;10715;10617;10538;10158;9853;9632;9559;9553;9362;9143;9216;9040;8944;8822;8353;7748;6402;6320;5094;4623;4841;4221;4460;5132;5351;5521;5477;5598;5817;6505;7137;7834;8877;9303;10032;11361;12460;13555;14762;15865
Turks and Caicos Islands;1574;1607;1639;1673;1707;1742;1778;1814;1851;1889;1927;1967;2007;2048;2090;2132;2176;2220;2265;2311;2358;2406;2455;2505;2556;2608;2662;2716;2771;2827;2885;3128;3361;3595;3845;4127;4448;4808;5194;5586;5969;6329;6674;7024;7414;7858;8368;8930;9550;10199;10751;11226;11612;12229;13055;13317;13962;14440;15429;16100;16099;16305;15544;16045;17013;18734;20690;21458;22431;19240;20095;20878;20292;20278;20107;20068
Tuvalu;1286;1299;1312;1325;1338;1351;1364;1378;1391;1405;1419;1433;1447;1461;1475;1490;1504;1519;1534;1549;1564;1580;1595;1611;1627;1642;1659;1675;1691;1708;1724;1745;1745;2314;2643;2620;2608;2650;2776;2808;2579;2367;1883;1849;1954;1885;1842;1990;2159;2082;2369;2441;2496;2586;2839;2686;2515;2757;3172;3109;3064;3097;3321;3190;3129;2995;3048;3230;3480;3319;3222;3488;3489;3528;3548;3622
Uganda;795;798;801;804;807;810;812;815;818;821;824;772;800;814;783;813;837;850;834;853;871;839;850;922;965;960;991;1015;1012;1092;1079;1084;1071;1046;1027;982;967;958;884;770;729;740;781;816;724;716;695;713;736;762;767;782;781;818;842;910;961;979;996;1043;1042;1060;1115;1147;1184;1217;1304;1367;1437;1490;1515;1607;1622;1621;1638;1680
Ukraine;2988;2933;2879;2826;2774;2723;2673;2971;3358;3669;3976;3927;4112;4220;4352;4643;5000;5015;5299;5149;5539;5755;5816;5600;6239;6515;6756;6982;7320;7355;7850;7982;7950;8538;8742;8724;9090;9262;9454;9372;9349;9400;9594;9860;9937;9981;10346;10437;10621;10773;10490;9588;8633;7401;5732;5073;4606;4509;4463;4496;4809;5305;5637;6217;7022;7265;7848;8519;8762;7498;7844;8282;8319;8338;8267;8449
United Arab Emirates;1246;1227;1209;1191;1173;1182;1191;1199;1208;1217;1225;1233;1240;1247;1255;1262;1270;1278;1433;1606;1801;2019;2264;2954;5021;8534;14505;24652;29634;35623;42822;41464;39798;60948;149185;167748;165063;167326;143058;159226;182668;181228;158177;144955;139882;129469;100191;101308;82687;92115;114832;109658;107416;103224;104855;106425;106923;109553;104107;101940;108048;105860;105346;109675;110662;102324;95637;82993;73029;60955;56644;56192;57028;59092;60578;60749
United Kingdom;10935;11860;11997;12078;11467;10881;10644;10411;10599;10866;11135;11416;11367;11751;12173;12531;12572;12702;12672;13122;13697;13887;13897;14393;15067;15292;15494;15777;16357;16616;16933;17207;17793;19043;18801;18699;19207;19684;20337;20871;20417;20149;20607;21357;21904;22648;23516;24551;25750;26279;26424;26017;26062;26688;27691;28317;28998;29662;30614;31474;32543;33282;33954;35250;35910;36665;37504;38164;37739;35840;36240;36549;36535;36908;37614;38225
United States;11320;13239;15702;18551;19847;18828;14777;14267;14544;14340;15319;16198;16508;16974;16558;17409;17428;17430;16961;17909;18059;18170;18966;19497;20338;21361;22495;22803;23647;24147;23908;24350;25374;26567;26258;25934;27041;27990;29281;29951;29619;30070;29230;30185;32110;33065;33899;34787;35929;36830;37062;36543;37321;37844;38892;39476;40501;41812;43166;44673;45986;45978;46367;47260;48597;49762;50599;51011;50384;48558;49373;49781;50549;51282;52118;53354
Uruguay;7065;7031;6305;6227;6854;6893;7404;7744;7835;7935;8135;8573;8501;8738;9091;8952;8897;8784;8834;7890;7999;8068;7735;7627;7644;7606;7746;7315;7324;7668;7934;7849;7563;7606;7831;8284;8567;8612;9012;9513;10034;10169;9147;8556;8410;8478;9169;9833;9770;9827;9841;10118;10841;11048;11766;11513;12068;13007;13508;13177;12876;12359;11401;11500;12081;12978;13489;14336;15317;15912;17095;17916;18447;19321;19929;20438
USSR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uzbekistan;1329;1301;1274;1247;1221;1195;1170;1297;1462;1594;1722;1697;1772;1814;1866;1986;2133;2133;2248;2179;2338;2430;2456;2365;2636;2753;2856;2952;3096;3111;3321;3378;3365;3615;3619;3531;3598;3584;3577;3468;3382;3325;3318;3335;3286;3227;3271;3226;3210;3184;3032;2953;2561;2446;2274;2213;2208;2280;2340;2414;2471;2543;2612;2691;2865;3030;3211;3467;3733;3968;4185;4412;4705;5002;5320;5598
Wallis et Futuna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vanuatu;1137;1152;1167;1183;1198;1214;1230;1246;1262;1279;1295;1312;1329;1347;1364;1382;1400;1418;1437;1456;1475;1494;1513;1533;1553;1573;1593;1614;1635;1656;1678;1699;1721;1744;2274;2103;2080;1999;2283;2306;1989;2021;2186;2593;2710;2679;2566;2519;2475;2498;2550;2557;2548;2494;2647;2610;2615;2693;2761;2720;2823;2664;2467;2508;2542;2610;2761;2833;2944;2970;2948;2916;2902;2895;2837;2912
Venezuela;5651;5603;5030;5275;6520;7526;8688;10306;11891;11614;11070;11268;11528;11582;12151;12555;13452;14657;13548;13493;13014;12405;12571;12468;13789;14056;13807;14225;14764;14753;15390;15549;15667;16369;17042;17710;18947;19632;19488;19140;18125;17539;16681;15025;14218;13874;14092;14802;15505;14125;14539;15577;16143;15829;15124;15390;15044;15680;15416;14216;14461;14673;13129;11894;13820;14981;16178;17298;17911;17056;16536;16960;17642;17614;16666;15753
West Bank and Gaza;1443;1551;1730;1758;1776;1828;2008;2097;1606;1230;1272;1316;1362;1351;1340;1329;1318;1307;1297;1286;1276;1266;1256;1247;1237;1228;1219;1210;1202;1320;1404;1546;1751;1592;1895;1834;2073;1989;2181;2144;2414;2197;2285;2104;2122;2018;2306;2149;2053;1987;2264;2027;2386;2521;2722;2788;2860;3392;4163;4788;4206;3836;3685;3922;4163;4506;4193;4015;3564;4187;4163;4359;4842;4498;4493;4319
West Germany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Western Sahara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vietnam;1011;1005;1000;995;989;984;979;974;970;965;961;985;1009;1034;1061;1086;1104;1119;1132;1140;1150;1167;1272;1267;1285;1257;1232;1047;1002;1059;1053;1082;1152;1202;1128;1023;1168;1182;1165;1151;1097;1112;1178;1216;1297;1345;1354;1374;1427;1457;1501;1562;1667;1770;1895;2042;2197;2339;2437;2515;2650;2778;2920;3085;3278;3485;3687;3907;4085;4260;4486;4717;4912;5125;5370;5623
Virgin Islands (U.S.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North Yemen (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Yemen (former);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Yemen;1315;1319;1323;1327;1332;1336;1340;1345;1349;1353;1357;1367;1377;1388;1397;1406;1414;1421;1428;1435;1443;1452;1461;1475;1483;1495;1512;1530;1544;1563;1849;2126;2249;2469;2554;2687;3018;3259;3440;3533;3457;3568;3529;3627;3661;3526;3495;3524;3558;3562;3441;3482;3578;3536;3598;3644;3676;3746;3857;3892;4017;4053;4094;4129;4177;4295;4320;4354;4420;4494;4534;3761;3765;3832;3866;3887
Yugoslavia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zambia;1960;2017;2077;2138;2201;2265;2332;2400;2471;2543;2618;2714;2812;2913;3016;2865;3104;3257;2916;3167;3151;3091;3017;3016;3214;3506;3877;4390;4423;3891;3888;3828;4050;3839;3822;3658;3622;3382;3232;2993;2998;2866;2832;2811;2696;2602;2579;2560;2523;2465;2407;2348;2253;2351;2098;2106;2180;2203;2136;2176;2202;2260;2304;2403;2507;2620;2752;2901;3039;3224;3451;3557;3678;3800;3898;4034
Zimbabwe;1221;1245;1271;1296;1323;1350;1377;1405;1434;1463;1492;1537;1543;1618;1645;1719;1843;1941;1920;1962;1969;2024;2001;1973;1976;2054;1985;1926;1639;2121;2521;2651;2778;2765;2740;2674;2568;2332;2209;2217;2364;2561;2527;2467;2327;2395;2357;2299;2390;2436;2532;2604;2316;2292;2456;2416;2619;2645;2680;2625;2521;2540;2304;1908;1794;1689;1629;1568;1286;1352;1484;1626;1750;1773;1773;1801
Åland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
South Sudan;1494;1531;1568;1607;1646;1686;1727;1769;1812;1856;1901;1947;1997;2043;2094;2146;2318;2234;2273;2484;2472;2416;2524;2396;2318;2426;2343;2218;2301;2388;2233;2329;2224;1983;2126;2332;2686;3009;2871;2488;2432;2411;2637;2530;2327;2104;2130;2137;2125;2247;2013;2089;2137;2141;2125;2132;2183;2338;2407;2518;2684;2769;2855;2976;3045;3221;3455;3756;3776;3799;3838;3505;1810;1965;2574;3047
