Under five mortality;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Mozambique;402.12;401.15;400.17;399.18;398.21;397.23;396.25;395.28;394.29;393.31;392.33;388.99;382.09;374.87;367.22;355.22;343.61;332.38;321.52;311.01;300.84;291.01;281.5;280.8;279.8;278.9;278.1;277.1;276.2;275.1;273.8;272.7;271.6;270;268.6;267.4;266;265;263.9;263.1;262.5;261.5;260.4;258.8;256.8;254.1;251.1;247.8;244.5;241.2;237.9;234.1;229.8;224.6;218.5;211.4;203.4;194.6;185.5;176.5;168;160;152.7;146;139.7;133.7;128;120.9;114.4;108.7;103.8;98.9;93;87.2;83.4;80.6
Myanmar;396.09;395.17;429.05;421.7;425.76;426.02;413.68;400.4;388.65;373.68;358.04;348.94;340.06;331.41;322.98;314.77;306.76;298.96;291.35;283.94;276.72;263.58;251.06;239.14;227.78;216.97;206.66;196.85;187.5;183.3;179.2;175.2;171.2;167.1;163.2;159.1;155.3;151.2;147.3;143.6;140;136.7;133.4;130.3;127.2;124.3;121.3;118.5;115.6;112.7;109.9;107;104.1;101.1;98.2;95.4;92.7;90;87.4;84.8;82.3;79.9;77.5;75.2;72.8;70.5;68.1;65.8;87.2;61.4;59.3;57.2;55.3;53.5;51.7;50
Namibia;373.04;362.7;352.56;342.68;334.04;324.5;315.15;305.98;297;288.19;279.54;262.64;246.77;231.85;217.83;204.66;192.29;180.67;169.74;159.48;149.84;140.4;131.55;123.26;115.49;108.21;101.39;95;95.6;96.1;96.6;97.2;97.8;98.4;98.9;99.4;99.9;100.1;100.1;99.7;98.7;97.1;94.9;92.3;89.2;85.8;82.4;79.1;76;73;70.4;68.1;66.3;65.2;64.9;65.2;66;67.3;68.7;70.1;71.4;72.1;72.4;72.4;71.7;70.7;68.7;65.2;62.2;58.6;55.4;53.6;51.9;49.5;47.7;46.7
Nauru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.9;54.9;53.1;51.3;49.6;48;46.4;44.9;43.5;42.2;41.2;40.3;39.5;39;38.8;38.7;39;39.3;39.7;39.7;39.4;38.8;38.1;37.2;36.3;35.4
Nepal;368.65;367.61;364.51;361.43;358.38;355.35;352.35;349.38;346.43;343.5;340.6;339.9;339.3;338.6;337.8;336.7;335.8;334.3;332.9;330.4;327.1;323;318.1;312.6;306.5;300;293.1;286.3;279.8;273.6;267.6;261.8;256.2;250.8;245.3;239.8;234.2;228.3;222.2;215.8;209.4;202.9;196.3;189.8;183.2;176.5;169.5;162.3;155.1;147.9;140.7;133.6;126.7;120;113.7;107.7;101.8;96.3;90.8;85.6;80.6;75.9;71.5;67.4;63.5;60;56.6;53.6;50.7;48;45.4;43.1;40.9;39;37.4;35.8
Netherlands;52.06;56.83;54.14;62.11;70.77;103.79;62.09;41.86;35.88;33.4;31.9;30.4;29;27.6;26.3;25.1;24;23.1;22.2;21.5;20.8;20.3;19.7;19.3;18.8;18.3;17.9;17.4;16.9;16.4;15.8;15.3;14.7;14.1;13.6;13.1;12.6;12.1;11.6;11.2;10.9;10.6;10.4;10.2;9.9;9.7;9.5;9.2;8.9;8.6;8.3;8;7.7;7.4;7.1;6.9;6.7;6.5;6.4;6.3;6.2;6.1;5.9;5.7;5.6;5.4;5.2;5;4.8;4.6;4.4;4.3;4.2;4;3.9;3.8
Netherlands Antilles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Caledonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49.8;47.51;45.34;43.28;41.34;39.51;37.79;36.18;34.67;33.25;31.91;30.66;29.48;28.37;27.33;26.33;25.39;24.5;23.66;22.85;22.09;21.37;20.69;20.04;19.43;18.84;18.29;17.76;17.26;16.78;16.32;15.86;15.43;15;14.58;14.18
New Zealand;44.39;48.3;44.23;46.79;46.7;41.4;37.53;34.9;33.64;36.3;35.5;34.8;33.9;33;32.1;31.3;30.7;30.1;29.5;28.8;27.9;26.8;25.8;24.7;23.8;23.1;22.5;22;21.6;21.2;20.8;20.3;19.9;19.4;18.9;18.3;17.7;17.1;16.6;16.1;15.6;15.2;14.8;14.5;14.2;13.8;13.4;12.9;12.4;11.8;11.2;10.6;10;9.5;9.1;8.7;8.4;8.1;7.8;7.6;7.4;7.2;7;6.9;6.7;6.6;6.5;6.4;6.4;6.3;6.2;6.1;6;5.9;5.8;5.7
Ngorno-Karabakh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nicaragua;353.6;346.07;337.6;330.33;322.09;314.03;301.78;290.02;278.71;267.85;257.41;247.37;237.73;228.46;219.56;211;208.4;205.8;203.7;201.5;199.3;197;194.8;192.5;190;187.6;184.9;182;178.8;175.2;171.4;167.2;162.4;157.1;151.1;144.7;137.8;130.5;123.2;116;109.1;102.7;96.8;91.5;86.8;82.7;78.9;75.6;72.6;69.7;66.9;64;61.2;58.3;55.5;52.7;50;47.4;50.3;42.5;40.3;38.3;36.4;34.7;33.2;31.7;30.4;29.2;28.1;27.1;26.1;25.2;24.4;23.5;22.8;22.1
Niger;396.12;395.19;394.25;393.32;392.39;391.45;381.06;370.88;360.88;349.98;340.4;339.58;338.75;336.41;334.7;331.5;327.88;323.85;322.96;322.08;321.2;320.32;319.44;318.57;317.7;316.83;315.96;315.1;318.8;322.9;327;330.9;334.3;337;338;337.1;334.6;330.5;326;322;319.6;319.1;321;324.5;328.9;332.9;335.8;336.9;335.7;332.9;328.2;321.9;313.7;303.8;292.2;279.5;267.1;255.9;245.8;236.4;227.3;217.6;207;195.7;184.1;172.7;161.8;151.3;141.3;132.1;123.6;116.1;109.6;104.1;99.6;95.5
Nigeria;409.4;408.94;408.48;408.01;407.54;407.07;399.17;391.47;383.83;377.48;370.03;367.29;363.4;360.02;356.68;353.37;350.09;346.84;343.62;340.42;337.26;334.12;331.02;329.37;327.5;320.5;313.8;307;300;292.6;284.9;277.1;268.9;260.4;252.3;244.3;236.8;229.9;223.8;218.6;214.4;211.5;209.6;208.9;208.8;209.5;210.6;211.5;212.2;212.6;212.5;212.2;211.7;211;209.7;207.8;205.1;201.4;197;192;186.8;181.3;175.6;169.9;164.1;158.1;152.2;146.4;140.9;135.5;130.3;125.5;120.9;116.6;112.5;108.8
Niue;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.2;11.8;12.4;13.1;13.8;14.6;15.3;16.1;17;17.9;18.8;19.8;20.9;22;23.2;24.4;25.6;26.7;27.4;27.8;27.8;27.6;27.3;26.8;26.2;25.6;24.9;24.3;23.6;23
Norfolk Island;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Cyprus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Northern Mariana Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Norway;49.29;55.3;53.3;53.58;54.24;49.39;47.6;41.87;36.34;34.28;32.9;30.9;29.1;27.6;26.6;25.8;25.2;24.6;23.9;23.3;22.6;22.1;21.5;21;20.4;19.7;19;18.2;17.5;16.9;16.2;15.6;15;14.3;13.6;12.9;12.2;11.5;10.9;10.4;10.1;9.9;9.9;10;10.1;10.2;10.3;10.1;9.8;9.3;8.7;7.9;7.2;6.6;6.1;5.7;5.4;5.2;5.1;5;4.9;4.7;4.5;4.4;4.2;4;3.9;3.7;3.6;3.4;3.2;3.1;2.9;2.8;2.7;2.5
Oman;401.54;401.21;400.88;400.55;400.22;399.89;399.56;399.23;398.9;398.58;398.25;397.92;397.59;397.26;396.94;396.61;396.28;395.95;395.63;395.3;376.8;359.1;341.5;325.8;310.4;295.5;281.3;267.5;253.9;240.5;227.6;215.1;202.7;190.8;179;167.4;155.8;144.4;133.1;122.2;111.6;101.4;91.6;82.4;73.9;66.1;59.3;53.3;48.1;43.6;39.4;35.7;32.4;29.4;26.8;24.5;22.5;20.8;19.2;17.8;16.6;15.5;14.6;13.8;13.2;12.7;12.3;12.1;11.9;11.7;11.7;11.6;11.6;11.7;11.6;11.6
Pakistan;403.22;403.61;404;404.39;404.78;405.16;405.55;405.94;406.33;406.71;407.1;388.8;371.5;354.7;338.9;324.1;310.1;296.7;284.4;272.8;261.9;251.6;241.9;232.7;224.3;216.7;209.8;203.8;198.3;193.3;188.8;184.7;181;177.7;174.6;172;169.6;167.3;165.3;163.4;161.5;159.6;157.7;155.6;153.4;151.1;148.7;146.2;143.6;141.1;138.6;136;133.5;131;128.3;125.7;123;120.3;117.6;114.9;112.3;109.8;107.5;105.3;103.2;101.2;99.3;97.4;95.5;93.7;91.8;89.9;87.8;85.6;83.3;81.1
Palau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.8;40.8;39.9;39;38;37.1;36.1;35.2;34.2;33.3;32.3;31.3;30.4;29.4;28.5;27.7;26.8;25.9;25.1;24.4;23.6;22.9;22.1;21.4;20.7;20.1;19.4;18.8;18.2;17.5;17;16.4
Panama;273.22;252.12;232.65;214.68;198.1;182.8;168.68;155.65;143.63;132.54;122.3;119.1;115.6;112.3;109;105.9;103;100.1;97.4;94.7;92.1;89.5;86.8;84.2;81.8;79.6;77.4;75.2;72.9;70.5;67.7;64.7;61.6;58.6;55.7;53.3;51.2;49.3;47.7;46.1;44.6;43;41.4;39.8;38.2;36.7;35.4;34.1;32.9;31.9;30.9;30.1;29.4;28.9;28.4;28.1;27.7;27.4;27;26.5;26;25.4;24.8;24.1;23.5;22.9;22.3;21.7;21;20.5;19.8;19.2;18.7;18.1;17.6;17
Papua New Guinea;386.43;385.44;384.43;383.43;382.42;381.42;363.14;345.74;329.17;313.39;298.37;284.07;270.45;257.49;245.15;233.4;226.3;219.4;212.8;206.5;200.2;194;188;182.1;176.3;170.6;165;159.7;154.4;149.3;144.4;139.8;135.4;131.2;127.2;123.5;119.9;116.6;113.6;110.7;108.1;105.6;103.2;101.1;99;97.2;95.5;93.9;92.4;90.9;89.4;88;86.6;85.3;84.1;83;82;81;80.2;79.3;78.5;77.7;77;76.1;75.2;74.2;72.9;71.5;69.7;67.9;66.1;64.3;62.5;60.9;59.1;57.3
Paraguay;223.6;210.12;193.83;178.8;164.94;152.16;140.36;129.48;119.44;110.19;101.64;93.77;92.97;92.28;91.49;90.69;89.9;88.7;87.5;86.4;85.3;84.3;83.4;82.7;82;81.3;80.6;80.1;79.4;78.7;78;77.1;76.1;75.1;73.8;72.5;71.1;69.6;68;66.4;64.7;62.9;61;59.1;57.2;55.3;53.5;51.7;49.9;48.2;46.5;44.9;43.3;41.9;40.5;39.2;37.9;36.8;35.7;34.6;33.5;32.5;31.5;30.4;29.4;28.4;27.5;26.6;25.7;24.9;24.1;23.3;22.6;21.9;21.2;20.5
Peru;336.84;328.41;319.06;317.75;316.45;315.15;313.86;312.57;311.28;310;308.73;307.46;306.2;293;280.3;268.5;258.4;249;241.1;234;227.4;220.7;213.8;206.6;199.4;192.3;185.6;179.5;173.9;168.8;163.8;159;154.2;149.5;144.9;140.5;136.7;133.3;130.4;127.7;124.9;121.8;118.3;114.1;109.3;104.2;98.8;93.5;88.6;84;79.7;75.4;71;66.5;62;57.5;53.2;49.1;45.3;41.8;38.6;35.8;33.3;31.1;29.1;27.4;25.9;24.5;23.2;22.1;21;20;19.1;18.3;17.5;16.9
Philippines;264.22;252.78;241.84;231.37;221.36;211.77;202.61;193.84;185.44;177.42;169.74;159.6;150.15;141.4;135.4;129.7;124.4;119.3;114.5;110;106;102.4;99.5;96.8;94.6;92.4;90.4;88.5;86.7;85.2;84;83.1;82.6;82.3;82.1;82.1;82;81.8;81.5;80.9;80.1;79.3;78.4;77.3;75.9;74;71.6;68.6;65.2;61.7;58.2;54.9;52.1;49.5;47.4;45.6;44;42.7;41.6;40.6;39.7;38.9;38.1;37.3;36.5;35.7;34.9;34.2;33.4;32.6;31.9;31.2;30.4;29.6;28.8;28
Pitcairn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Poland;211.8;205.98;200.33;194.83;189.49;184.29;179.23;174.31;169.53;162.07;163.92;177.01;140.02;127.52;118.77;115.3;98.41;91.08;84.3;72.8;64.7;59.4;55.6;52.5;49.3;45.9;42.6;40.2;38.8;37.7;36.3;34.5;32.5;30.4;28.7;27.7;27.1;26.4;25.5;24.6;23.9;23.3;22.7;22;21.2;20.3;19.5;18.9;18.4;17.9;17.3;16.8;16.4;16;15.5;14.5;13.3;12;10.8;9.9;9.3;8.8;8.4;8.1;7.8;7.6;7.3;7;6.7;6.2;5.8;5.5;5.3;5.2;5.2;5.2
Portugal;202.76;245.92;219.03;212.46;194.27;179.9;178.55;157.63;158.07;171.23;143.15;138.02;143.7;136.4;130.5;127.2;124.3;121.8;119.5;117.4;114.6;110.3;104.3;97.6;91;85.2;80.8;77.7;75.1;72;68.2;63.4;58;52.6;47.8;43.5;39.5;35.6;32.3;29.7;27.6;25.8;24.2;22.8;21.6;20.4;19.3;18.2;17;15.9;14.7;13.6;12.5;11.4;10.5;9.7;9.1;8.6;8.2;7.7;7.2;6.7;6.1;5.6;5.1;4.7;4.4;4.2;4.1;4;3.9;3.8;3.8;3.8;3.7;3.6
Puerto Rico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21.15;20.57;20;19.39;18.74;18.03;17.29;16.56;15.87;15.25;14.71;14.29;13.97;13.73;13.56;13.39;13.17;12.86;12.45;11.93;11.35;10.76;10.24;9.83;9.53;9.32;9.16;9;8.78;8.5;8.18;7.82;7.47;7.16;6.9;6.69
Qatar;396.56;368.56;342;317.75;293.56;270.49;248.44;227.33;207.97;188.65;170.12;166.82;163.59;160.42;157.31;154.27;151.28;148.35;145.47;142.66;139.89;127.01;115.31;104.69;95.05;86.3;78.35;71.14;64.59;71;66.2;61.7;57.6;53.9;50.5;47.5;44.7;42.2;40;38;36.2;34.4;32.8;31.3;29.8;28.3;26.7;25.2;23.7;22.3;20.8;19.5;18.2;17.1;16.1;15.3;14.6;13.9;13.4;12.9;12.4;11.9;11.5;11.1;10.7;10.4;10.1;9.8;9.5;9.2;9;8.7;8.4;8.2;7.9;7.7
Reunion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.24;34.95;32.8;30.79;28.9;27.12;25.45;23.89;22.42;21.04;19.75;18.53;17.4;16.33;15.33;14.38;13.5;12.67;11.9;11.17;10.48;9.84;9.23;8.67;8.14;7.64;7.17;6.72;6.31;5.92;5.56;5.23;4.95;4.69;4.47;4.28
Romania;305.53;269.88;289.13;298.95;263.35;305.48;266.62;324.99;229.42;216.4;180.76;182.64;158.36;141.84;129.29;110.17;117.03;115.3;95.13;106.76;95.12;85.89;76.6;76.9;77.2;77.1;76.4;75;72.7;69.4;65.6;61.7;58.2;55.2;52.6;50.4;48.5;46.7;45.1;43.5;42;40.6;39.4;38.7;38.6;38.9;39.4;39.8;39.8;39;37.7;36.4;35.1;34.1;33.2;32.3;31.4;30.4;29.2;28.1;26.9;25.9;24.9;23.7;22.4;20.9;19.2;17.6;16.1;14.9;13.9;13.2;12.5;12;11.5;11.1
Russia;129.27;124.48;119.85;115.41;111.12;107;103.03;99.2;95.52;91.97;88.56;85.27;82.11;79.06;76.12;73.3;70.58;67.96;65.43;63;55.81;49.45;47.77;45.26;41.18;38.77;37.33;36.85;37.12;36.04;44.2;42.4;40.7;39.2;37.7;36.6;35.6;34.8;34.2;33.6;33;32.5;31.9;31.3;30.7;30;29.1;28.1;27.2;26.4;26;25.9;26.1;26.3;26.4;26.4;26;25.6;25;24.2;23.2;22;20.7;19.3;18;16.7;15.5;14.4;13.5;12.7;12;11.4;10.8;10.4;9.9;9.6
Rwanda;345.55;340.46;335.47;331.58;326.64;318.85;311.24;303.82;296.57;289.49;282.59;275.84;269.26;262.84;256.56;250.99;245.4;237;229.6;222.6;216.1;211.2;207.8;205.8;205.1;205.6;207;209;211.6;214.7;218.2;222.1;226.5;231.9;238.4;244.4;248.5;248.9;243.7;232.5;217.4;201.1;185.9;173.7;165.2;159.2;154.1;150.1;147.6;147;148.9;154;161.9;180.7;293.8;261.5;196;215.9;227.5;194.9;179;166.3;151.8;137.1;122.7;109.6;97.9;87.5;78.3;70.7;64.2;57.8;52.3;48.2;44.8;42
St. Barthélemy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Helena;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Kitts and Nevis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.4;67.2;65.1;63.1;61.2;59.6;58;56.5;54.9;53;50.9;48.5;45.9;43.2;40.5;38;35.7;33.5;31.6;29.9;28.4;27.1;25.9;24.8;23.8;22.9;22;21.1;20.2;19.4;18.6;17.8;17.1;16.4;15.8;15.2;14.6;14;13.5;13;12.5;12.1;11.7;11.3;10.9;10.5
St. Lucia;192.94;191.75;190.58;189.4;188.24;187.08;185.93;184.79;183.65;182.52;181.4;180.15;178.11;175.08;170.33;165.45;159.7;153.14;145.85;138.76;131.86;124.71;117.95;111.55;105.5;99.78;94.37;89.25;84.41;79.83;75.5;68.7;62.3;56.5;51.2;46.5;42.6;39.4;37;35.1;33.5;32.2;31;29.8;28.6;27.3;26.1;24.9;24;23.2;22.6;22.1;21.6;21.2;20.6;20.1;19.6;19;18.6;18.2;17.8;17.6;17.4;17.3;17.2;17.1;17;16.8;16.6;16.3;16.1;15.8;15.4;15.1;14.7;14.3
St. Martin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Vincent and the Grenadines;208.32;207.09;205.87;204.65;203.45;202.25;201.06;199.87;198.69;197.52;196.36;194.19;189.65;184.13;177.69;170.37;162.29;153.5;144.09;135.01;128.05;121.44;115.18;109.24;103.6;98.26;93.19;88.38;83.82;79.5;80.4;81.1;81.4;81.1;80;78;75.2;71.6;67.4;62.6;57.7;52.6;47.6;42.9;38.6;34.9;31.8;29.3;27.3;25.7;24.5;23.6;23;22.6;22.4;22.4;22.4;22.4;22.4;22.3;22.2;22.1;22;21.9;21.8;21.8;21.7;21.6;21.4;21.1;20.8;20.3;19.8;19.3;18.8;18.3
St.-Pierre-et-Miquelon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samoa;251.79;250.66;249.54;248.43;250.53;252.61;254.66;256.69;258.7;260.68;262.65;250.79;239.43;228.56;218.15;208.19;198.66;189.54;180.82;172.48;164.51;161.67;158.86;156.08;153.33;150.62;147.93;145.29;142.67;140.09;137.54;130.02;122.9;116.16;109.78;103.74;98.03;92.62;87.5;82.66;69.78;68.48;67.15;65.78;39;37.3;35.8;34.5;33.2;32.1;31;30;29;27.9;26.9;25.9;24.9;24.1;23.2;22.4;21.7;21;20.4;20;19.6;19.3;19.1;18.9;18.8;24.1;18.7;18.6;18.5;18.2;17.9;17.5
San Marino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;13.4;12.5;11.7;10.9;10.2;9.5;8.9;8.3;7.8;7.3;6.8;6.3;5.9;5.5;5.2;4.9;4.6;4.4;4.2;4;3.9;3.7;3.6;3.5;3.4;3.2;3.1;3;2.9
Sao Tome and Principe;245.25;244.16;243.07;241.99;240.91;239.84;238.77;237.71;236.65;235.6;234.55;232.14;227.14;222.8;217.35;211.72;195.84;181.16;167.57;155;143.38;132.63;122.68;113.48;104.97;97.1;93.9;91.1;88.9;87.5;86.9;87;87.6;88.5;89.4;90.1;90.6;91;91.2;91.9;92.8;94.1;95.7;97.9;100.1;102.6;104.8;106.9;108.4;109.8;110.7;111.2;111.1;110.2;108.7;106.5;103.7;100.5;97;93.2;89.3;85.4;81.5;77.6;73.7;70.1;66.7;63.6;61;58.5;56.4;54.4;52.4;50.8;49;47.3
Saudi Arabia;379.3;378.3;377.3;376.29;375.28;374.28;352.91;333.49;313.74;294.72;276.41;272.76;269.15;265.59;262.08;258.61;255.19;251.82;248.48;245.2;241.95;235.2;228.63;222.24;216.04;210;204.14;198.44;192.9;187.51;182.27;170.68;161;150.9;141.9;133.4;125.6;118;111.1;104.4;98;91.9;86;80.3;74.7;69.1;63.7;58.4;53.3;48.6;44.3;40.5;37.1;34.2;31.8;29.7;27.8;26.3;25;23.8;22.9;22;21.3;20.7;20.1;19.7;19.2;18.7;18.1;17.6;17;16.5;16;15.5;15;14.5
Senegal;439.6;429.23;419.1;409.2;382.8;376.1;369.8;363.5;357.7;351.7;346.2;340.8;335.2;329.6;324;318.8;314;310.1;306.9;304.5;303.3;302.5;302.4;302.3;302.2;301.6;300.4;299;297;294.4;290.5;285.4;278.9;271.1;262.2;252.4;241.8;231.3;221.6;212.8;205.2;198.6;192.5;186.5;179.9;172.6;164.5;156.6;149.6;144.1;140.4;138.7;138.5;139.3;140.6;142.1;143.2;143.4;142.4;139.7;134.9;128.4;120.7;112.5;104.2;96.2;88.8;82;75.8;70.1;64.8;60;55.9;52.5;49.7;47.2
Serbia;117.04;114.57;112.15;109.78;106.92;104.14;101.42;98.78;96.2;93.68;91.23;88.84;86.51;84.24;82.03;79.87;77.77;75.72;73.72;71.78;69.88;68.03;66.23;64.47;62.76;61.09;59.47;57.88;56.34;54.83;53.37;51.94;50.55;49.19;47.87;46.58;45.32;44.1;42.91;41.75;43.13;41.48;39.58;37.4;40.3;39.1;37.9;36.2;33.9;31.2;28.4;25.9;24.2;23.1;21.8;19.7;17.4;15.4;13.9;13.1;12.6;12.2;11.6;10.6;9.6;8.9;8.4;8.1;8;7.8;7.6;7.3;7.1;6.9;6.8;6.7
Serbia and Montenegro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serbia excluding Kosovo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seychelles;129.44;128.3;127.17;121.8;121.5;121.3;121.1;120.6;120.1;119.4;118.5;117.4;116.1;114.6;113;111.4;109.7;107.9;106.2;104.4;102.6;100.5;98.4;96.1;93.4;90.6;87.5;84;80.1;76.1;71.9;67.7;63.4;59.2;54.8;50.4;45.8;41.5;37.4;33.6;30.4;27.6;25.3;23.4;21.8;20.5;19.5;18.6;17.8;17.1;16.5;16;15.5;15.1;14.7;14.5;14.3;14.2;14.2;14.2;14.3;14.3;14.3;14.3;14.3;14.2;14.2;14.2;14.2;14.2;14.2;14.2;14.2;14;13.8;13.6
Sierra Leone;471.13;469.91;467.28;466.05;463.47;462.26;451.57;442.44;439.57;436.72;433.9;431.08;428.29;425.52;422.76;420.02;417.3;412;406.5;401.6;396;390.3;384.7;378.7;372.6;366.2;359.8;353.4;346.6;340.5;334.6;329;323.6;318.4;313.4;308.7;304.2;299.8;295.7;291.5;287.6;284;280.9;277.9;275.2;272.8;270.5;268.2;266.7;265.2;264.3;263.4;262.6;261.5;259.9;257.5;254.4;250.5;246;241.1;235.8;229.9;223.9;217.4;210.8;203.7;196.2;188;179.1;169.9;160.2;150.6;141.6;133.4;126.4;120.4
Singapore;229.61;255.27;283.79;315.5;462.84;351.19;131.19;125.89;115.43;100.18;117.16;105.2;96.88;84.8;78.1;72;66.5;61.5;56.9;52.3;47.8;43.8;40.5;38.2;36.5;35;33.6;32;30.3;28.7;27.4;26.1;24.3;22;19.7;17.6;16;15.2;15.1;15.2;14.8;14.1;13.2;12.3;11.6;10.9;10.4;9.8;9.2;8.4;7.7;6.9;6.3;5.8;5.4;5.2;5;4.8;4.6;4.3;4;3.7;3.4;3.2;3;2.9;2.9;2.9;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.7
Slovak Republic;162.46;160.37;158.31;156.27;154.25;152.26;150.28;148.33;146.41;144.5;142.62;138.54;97.28;82.87;67.11;59.36;53.69;60.16;47.58;43.08;37.81;35.55;32.44;33.98;32.66;36.19;33.8;30.99;29.27;32.02;30.72;29.12;30.06;30.28;27.72;27.77;28.19;24.7;25.07;23.66;23.16;25.9;24.8;23.8;22.8;21.8;20.9;20;19.2;18.4;17.7;17;16.3;15.6;15;14.4;13.8;13.3;12.7;12.2;11.8;11.4;11;10.6;10.2;9.8;9.5;9.1;8.8;8.4;8.1;7.8;7.5;7.2;7;6.7
Slovenia;160.95;153.12;145.51;137.4;130.23;123.25;116.47;109.25;102.87;96.7;90.13;83.72;77.76;72.23;67.09;62.31;57.87;53.75;49.92;46.36;43.06;41.08;39.2;37.4;35.68;34.04;32.48;30.99;29.56;28.2;26.9;25.57;24.3;23.09;21.95;20.86;19.82;18.83;17.9;17.01;16.16;18;17;16.1;15.3;14.4;13.5;12.7;11.9;11.1;10.4;9.7;9.1;8.5;7.9;7.4;6.9;6.5;6.2;5.8;5.5;5.2;5;4.7;4.5;4.3;4.1;3.9;3.7;3.5;3.3;3.2;3;2.9;2.8;2.7
Solomon Islands;459.85;458.65;457.43;456.22;455;413.65;375.37;339.73;305.39;274.16;244.79;239.4;234.12;228.96;223.92;218.99;214.16;209.44;204.83;200.31;195.9;185.6;175.9;166.7;157.9;149.7;141.4;132.8;124.1;115.6;107.2;99.2;91.9;85.2;79.1;73.5;68.4;63.9;59.9;56.4;53.5;51.1;49;47.3;45.8;44.5;43.3;42.3;41.4;40.6;39.7;38.9;37.9;37;36.2;35.4;34.8;34.3;33.9;33.5;33.1;32.9;32.8;32.9;33.1;33.2;33.4;33.3;33.1;32.6;32.1;31.4;30.7;29.9;28.9;28.1
Somalia;412.19;411.13;410.07;409.03;407.99;406.95;396.18;386.8;376.48;367.48;357.51;354.38;349.04;343.33;337.25;330.78;324.02;316.89;309.46;302.15;294.92;287.82;280.77;273.79;266.88;259.97;253.14;246.31;239.88;233.83;228.13;223.59;218.6;215.64;212.71;209.83;206.98;204.18;201.41;198.67;224.13;222.06;190.7;189.1;187.1;186;185.4;184.9;184.1;182.7;180.2;177.2;175.3;174.5;174.4;174.4;174.4;174.4;174.4;174.4;174.4;174.4;174.4;174.4;174.4;174.3;173.7;171.8;168.5;164.4;160.2;155.3;150.6;146.1;141.2;136.8
Somaliland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
